content,score,label_sentiment,label_topic
ông cố nội tao ứng dụng momo à gọi chăm sóc khách hàng tốn tiền vãi lồn mà không cấp lại được cái mật khẩu mà mật khẩu cũ không nhập sai do ứng dụng lỗi ứng dụng cũng không hỗ trợ gmail hay vân tay hay chụp chân dung xác thực cứ báo lỗi giới hạn chụp chân dung ứng dụng cùi điêng tức vãi lồn,1,0,1
tạm ngưng gói cước mobifone thì 1 sao mày khỏi cảm ơn,1,0,0
nó làm game tự mua bảo hiểm oto và nhiều thứ khác góp quỹ thì không thể lấy lại,1,0,0
sau chỗ mạng mobifone ngừng hoạt động rồi nhân viên,5,2,0
tốt good,5,2,0
lỡ gỡ cài đặt giờ dg nhập lại khó vậy,3,1,0
tốt,5,2,0
gói cước data không được bán hợp lí dịch vụ quá tồi tệ,1,0,0
hay,5,2,0
bị trừ mà ứng dụng mà tôi không đăng ký gói hay mua gì từ ứng dụng kiểm tra nhật ký mua hàng trên chplay không có vẫn trừ báo cáo thì giải quyết cho có,1,0,0
ứng dụng dịch vụ kém chăm sóc khách hàng tệ đăng kí gói mạng vina tháng 110 nghìn nhưng không được các tiện ích như đã quảng cáo liên hệ chăm sóc khách hàng thì 1 tuần rồi chưa giải quyết xong,1,0,0
ứng dụng hay lắm mọi người ạ uy tín chất lượng cao lắm,5,2,0
rác rưởi năng máy xóa tài khoản gỡ ứng dụng luôn và liền đã chặn số 555 gì đó có ứng dụng báo nợ nó trừ tiền luôn tài khoản ngân hàng mà không báo trước,1,0,2
bảo mật kém,1,0,0
1 performance rất tệ không tương thích máy đời cũ nóng máy thoát ứng dụng liên tục 2 chương trình khuyến mãi làm ăn gian dối lọc tài khoản tự xoá ưu đãi khi mình đã thu thập hỗ trợ thì bảo hết ngân sách trong khi người khác vẫn còn hết sức vô lý 3 hỗ trợ không đúng trọng tâm chung chung không giải quyết được vẫn đề,1,0,3
mới tải ứng dụng lúc nó mới ra bị mất 500 nghìn không hoàn lại bạn mình bị mất 1 triệu tởn luôn,1,0,0
nói tặng 500 nghìn mà có đâu được 10 nghìn thì có,1,0,0
tốt,5,2,0
khó,5,2,0
tiyet với con cừu mèo,5,2,0
tôt hon nhanh hơn,1,0,0
ứng dụng tuyệt vời nhất,5,2,0
tài khoản rất tốt,1,0,0
cảm thấy rất là thất vọng giao dịch thành công thì báo lỗi có khi giao dịch cả ngày trời vẫn không được nhắn cskh thì cũng không ăn thua,3,1,0
tốt lắm,5,2,0
chạy quảng cáo vừa vừa thôi đang đánh giá 5 sao mà chạy lắm quảng cáo vừa dài vừa khó chịu làm tao phải vào cho 1 sao giờ nhìn tăng duy tân ngứa hết cả mắt,1,0,0
hơi giật xíu nhưng được cái ui đẹp,4,2,3
ứng dụng trả bố 50 nghìn,1,0,0
chả hiểu gì,5,2,0
ứng dụng rất êm giải quyết hầu hết các vấn đề cuộc sống,5,2,0
chuyển ngân hàng là không được,1,0,0
giật,1,0,3
dung ung 5 sao,5,2,0
tải siêu chậm luôn,1,0,3
ứng dụng như quần què chuyển từ ngân hàng về túi mà không cộng trong khi tra soát bên ngân hàng báo đã giao dịch thành công nhắn hỗ trợ thì bắt đợi 3 ngày nếu tiền chuyển phải đợi thì xài ứng dụng có tác dụng gì,1,0,2
ví điện tử mà tôi thích nhất,5,2,3
tối ưu trên máy yếu lởm cập nhật xong không vào được nữa,2,0,3
hôm nay 17 12 2025 momo liên tục dừng đề nghị khắc phục cám ơn,3,1,0
càng ngày càng tệ chuyển tiền hay làm gì cũng tự động thoát ra,1,0,2
tuyệt vời,5,2,0
moni nói chuyện dễ thương mà hay bị sai chính tả lắm nhé sự kiện game làm nhiệm vụ nhận năng lượng hay bị lỗi không nhận được thưởng vì biết đây là ứng dụng chuyển tiền những cái kia chỉ là bên nề lên không cho 1,3,1,2
nạp tiền vào rồi không cho rút báo ngân hàng bảo trì không chuyển về được nhưng mà 1 tuần đều như thế lừa dối,1,0,2
chất lượng của momo dạo này rất tệ chuyển khoản rất chậm thường xuyên bị lỗi,2,0,3
thanh toán cái gì cũng phải báo bị mất tiền mấy lần hơi cay rồi đấy,1,0,2
ứng dụng gì mà hút máu kinh,1,0,0
anh em cẩn thận momo liên kết tài khoản khác tự động rút tiền trong ngân hàng mà không cần xác thực và thông báo người dùng như 1 hành vi lừa đảo chia sẻ và tố cáo lừa đảo,1,0,1
tốt đấy,5,2,0
ứng dụng đần vãi lồn điện qua số xong bị câm luôn mã mã xác thực thì không gửi,1,0,1
cái này tôi làm hồi 2021 tới giờ vẫn ổn,5,2,3
chuyển từ momo về tài khoản mình bị mất phí na mọi cần cân nhắc khi tải momo,3,1,2
đóng tiền điện thẻ trừ tiền rồi mà momo báo giao dịch không thành công phản hồi lên thì đẩy ngân hàng điện ngân hàng kiu liên hệ momo xong bắt đợi 1 tháng dịch vụ như quần què,1,0,2
tự trừ tiền quá tệ toàn lỗi,1,0,2
tắt tự động thanh toán rồi nhưng vẫn bị trừ tiền,1,0,2
sao không thể đăng kí mạng trên mobifone nữa vậy,5,2,0
,1,0,0
ví momo giúp tôi,5,2,0
lừa đảo mình làm theo đúng như nó chỉ mà làm xg nó kêu không đủ đk để nhận quà liên hệ bên đó thì nó câu giờ không muốn giải quyết đưa con ai ra ra nch muốn gặp chăm sóc khách hàng mà đợi cả tiếng không gặp được,1,0,0
2 ngày rồi không vào được,2,0,1
ứng dụng đểu ngày nào cũng thấy tổng đài momo gọi làm phiền nhắn tin liên tục,1,0,0
momo đưa người dùng mobiphone vô rừng ở hết,1,0,0
ứng dụng chuyển khoản quá lâu,1,0,0
rất dỏm,1,0,0
dùng tốt,5,2,0
lừa đảo tiền người khác tự trừ trobg khi không có liên kết,1,0,2
không hiểu sao dạo này các gói mạng của momo dùng quá tệ tốc độ siêu chậm gói thì đắt quảng cáo siêu tốc độ mà kiểm tra còn không bằng st5 nghìn,3,1,3
ứng dụng phù hợp trời lạnh mở ứng dụng lên như lò sưởi,1,0,0
tốt,5,2,0
tốt làm ne,5,2,0
từ khi cập nhật xong cứ tự động thoát ứng dụng dù vào lại đến chục lần mới vào được,1,0,0
liên kết tài khoản vietinbank không được toàn báo lỗi chịu luôn gọi bên hỗ trợ chả thấy trả lời đâu muốn xóa tài khoản chủ cũ cũng không xong,1,0,0
lừa tiền tôi yêu cầu giúp đỡ lại cứ đổ lỗi cho người bị lừa ứng dụng quá quá tệ,1,0,2
ứng dụng thì chậm chuyển tiền thì lỗi khiếu nại thì xử lý quá lâu ứng dụng ngày càng tệ,1,0,2
nhân viên vay nhanh nói chuyện láo,1,0,0
lỗi khi giao dịch quá nhiều lần,1,0,0
nạp tiền điện thoại cần gấp mà bị giật cứ bảo quý khách chờ đợi kiên nhẫn đã bỏ sử dụng gần 1 năm mới tải lại đã bị giật nạp tiền tệ,1,0,2
tốt,2,0,0
quét mã mã qr mà bên kia trừ mà bên momo toàn chưa nhận mua hàng quê luôn á chứ,1,0,0
lỗi mãi thôi ó,1,0,0
chuyển tiền không vào từ sáng t2 bắt đợi 3 ngày tới t5 khiếu nại xử lý 2 ngày không tính cuối tuần tới t3 tuần sau mới được giải quyết trọn vẹn 8 ngày mấy ac hỗ trợ thì như con bot nhắn mọi thứ theo form kêu mình nhập thông tin mình vừa tab ra xem thông tin thì ứng dụng tắt tính là thoát hỗ trợ bắt đầu đợi hỗ trợ và hỏi mọi thứ từ đầu dù mình đã diễn giải và confirm mọi thứ trước để đỡ mất thời gian tao tưởng ngân hàng nhà nước không đó đúng ví điện tử cho giới trẻ không vậy má rất tệ,1,0,1
tốt tot,5,2,0
tốt,5,2,0
chuyển khoản từ shinhan thẳng qua momo bên shinhan qua tiền rồi mà momo chưa nhận,1,0,2
tốt,5,2,0
chăm sóc khách hàng tệ,1,0,0
tốt đầy tiện lợi,5,2,0
cần nạp data nhưng mobile không bán cước nữa,4,2,2
hài lòng,5,2,0
rất tốt,5,2,0
làm ăn rất tệ không nói rõ lí do vì sao người ta lại không được 50 nghìn trong khi đó người ta đã làm đủ các bước rồi,1,0,0
5 năm nay tài khoản không có nổi 1 voucher bất kỳ bất cứ sự kiện nào,1,0,0
ví điện tử an toàn tiện lợi,5,2,0
ứng dụng này mất dạy lắm người cài lưu ý nó dụ vào ví trả sau lỡ sơ ý thanh toán mua gì đó online là nó thu phí rất nặng còn hơn xã hội đen cho vay tiền nóng đề nghị cơ quan công an xem xét hành vi phạm tội này để bảo vệ quyền lợi người dân,1,0,2
tự ý đăng kí gói gì đó 417 nghìn của tao hoàn lại không là tao khiếu nại nhé,1,0,0
lỗi 40103,1,0,0
tệ,1,0,0
tot,5,2,0
tiền của tôi không cánh mà bay bực quá 2 cụ bay hết,2,0,2
giao diện bị rối,3,1,3
tốt rất tốt,5,2,0
bán hàng online giày dép túi xách online tik tok,5,2,0
momo la gì mã người ta cọp momo tôi cho tôi hoi tắt ca moi nguoi ơ logo,5,2,0
momoho trò cho cac em joc sinh ngeo,5,2,0
tổng đài làm ăn tệ gọi muốn khóa momo thì cứ ăn rồi phí 1 phút bảo phím 1 thì chả nghe mà hỗ trợ,1,0,2
sao momo hôm qua giờ đăng nhập vào không được,1,0,1
chứ tài khoản là số nào,5,2,0
tốt,5,2,0
lệnh chuyển tiền vào tài khoản nhanh,5,2,2
tốt,5,2,0
tiền thì ít cứ thích làm sự kiện,1,0,2
tốt,5,2,0
tốt,5,2,0
ứng dụng có lỗ hỏng em đã bị kẻ gian lợi dụng lỗ hỏng đó và thực hiện hành vi để em gánh chịu nợ vay và lãi trung tâm tài chính và khoản vay từ khi biết đến momo tới bây giờ tài khoản momo chưa nạp vào quá 100 000 vnđ luôn vậy mà 17 giờ chiều hôm qua 12 12 2025 em bị kẻ gian bắt vay tiền nhanh và nhận diện khuôn mặt nữa rồi chính em là người ôm nợ mà từ trước đến giờ không có cần vay chi tiêu gì hết mong quản trị viên xoá phần trung tâm tài chính và khoản vay đi chứ để người khác giống như em nữa hay sao,1,0,2
hay quá đi mất thôi,5,2,0
tự đông trừ tiền tài khoản ngân hàng không xác nhận của chủ thẻ trung gian cùng với cửa hàng play thu tiền cho các ứng dụng rác lừa đảo,1,0,2
tốt,5,2,0
quá tệ cho phép nộp tiền vào tài khoản nhưng không cho rút vì lí sao đăng kí sinh trắc học khác gì giam tiền đúng lúc cần tiền gấp rất kẹt thì không thể rút cực kì khó chịu,1,0,2
mã mã xác thực gì mà gửi quài cứ lỗi,1,0,1
chuyển tiền như không được nhận nhưng bị trừ tiền,1,0,2
trừ tiền ngân hàng nhưng không cộng vào momo,1,0,2
ứng dụng rất tệ khuyên mọi người đừng bao giờ dùng,1,0,0
các tài khoản liên kết trừ tiền không cần xác nhận ví không an toàn,1,0,2
tốt,5,2,0
bạn tôi mời tạo tài khoản mà tạo xong thì không được nhận tiền cứ bắt nạp tiền vô ứng dụng thì ngu ngu giật giật,1,0,2
quét mã mã qr bạc triệu bị lỗi mà không hoàng tiền lại liền mà nói tìm lý do bị lỗi mới xữ lý chờ trong 3 ngày làm việc không tính lễ thứ 7 chủ nhật mọi người xài momo lưu ý rất nóng rất ức chế,1,0,2
tốt ổn ứng dụng á,5,2,0
chăm sóc khách hàng quá tệ vào ứng dụng thì giật xong bị thoát ra ngoài,2,0,3
chuẩn,5,2,0
không biết dùng,1,0,0
tốt,5,2,0
giật quá momo ra cái tắt ai đi chứ đã không có tác dụng còn gây chậm,1,0,3
tệ hại,1,0,0
không tốt đốív momo mất tiền vô lý,1,0,2
giật không vào được,1,0,3
vẫn rất giật và giao diện liên tục không hiển thị,1,0,3
tốt,5,2,0
tiện lợi,5,2,0
khi thanh toán thì trừ tiền 1 lần khi hoàn tiền lại hoàn nhiều lần xứng đáng 1 sao,1,0,2
tuyet vời,5,2,0
xóa giúp tôi người trước đăng ký momo của tôi với số của tôi người trước đăng kí rồi tôi vô không được,1,0,0
sao không có phần nạp thẻ game vậy ạ,3,1,2
tới khúc quét mã thanh toán tải vòng vòng không trả được tiền suýt thì ở lại rửa chén,1,0,2
chính thức hủy xóa momo và khuyên các bạn nên chú ý tải sử dụng tự ý thanh toán hóa đơn vào ví ghi nợ không thông báo xử lý chậm kích hoạt thì cũng lấy phí cao rất nhiều mất 1trieu 2 cho sự vớ vẩn của ứng dụng khi bản thân còn không sử dụng không khác gì lừa đảo,1,0,2
quá tuyệt vời,5,2,0
liên kết không được 30 nghìn lừa,1,0,0
giật vãi,1,0,3
tốt,5,2,0
momo giờ chuyển cần phí á chuyển 3 triệu phí mấy 22 nghìn,1,0,2
rút tiền của khách hàng thanh toán cho bên thứ 3 khi tài khoản đã tạm ngừng giao dịch lừa đảo tải ứng dụng này về máy là nó rút sạch tiền nhé các bạn,1,0,2
được,4,2,0
không mở được vts nhỉ,5,2,0
ngày càng tệ thường xuyên bị giật ứng dụng và không trả kết quả giao dịch,1,0,0
tuyetvoi,5,2,0
ứng dụng tệ link ngân hàng thì cứ không thanh toán qua ngân hàng mà bắt nạp tiền mới cho thanh toán vô dụng,1,0,2
chăm sóc khách hàng rất tệ có cũng như không kém linh hoạt cả tự động và con người,1,0,0
ứng dụng không hỗ trợ các gói data gói nào cũng hết thậm chí ngừng cung cấp tải thì chậm mất thời gian không đáng dùng,1,0,3
tốt,5,2,0
hay trước đã không ổn định rồi nay thành toán bằng vts 30 nghìn trả 60 nghìn con mẹ nó hút máu vừa thôi chứ dùng ưu đãi nhưng lại không hời bye momo,1,0,0
ứng dụng loll tao bị lừa mất tiền mà không thèm hỗ trợ mặc dù đã gửi đơn khiếu nại và có cả bằng chứng đúng mấy bọn lừa đảo thông đồng nhau mấy bọn đồng loã chăm sóc khách hàng thì chửi khách giờ tiền cũng chỉ vài trăm đem ra cơ quan thì ai thèm làm chỉ nhờ khiếu nại xem có lấy lại được hay không mà đợi mãi không thấy phản hồi trong khi ứng dụng có ra tính năng đó,1,0,2
tốt,5,2,0
có quá nhiều lừa đảo yêu cầu hỗ trợ thì hờ hững,1,0,0
bị trừ tiền oan khi không xác nhận đồng ý của khách hàng đánh giá báo cáo tài chính có dấu hiệu lừa đảo chiếm đoạt thì bị xóa minh bạch giữ chưa mo mo,1,0,2
quá chậm,3,1,3
10điểm không có nhưng,1,0,0
nhu con cặc tao ứng dụng yêu cầu mã xác thực 4 so tinh nhan 6 so nhan ho trò nhu quan que,1,0,0
đăng nhập từ máy khác có mỗi 4 ô để nhập mã mã xác thực mà đọc tới 6 kí tự,1,0,1
cập nhật cd yêu cầu chụp mặt trước nhưng cam đen xì không thể chụp được,1,0,0
tốt,5,2,0
vay ví trả sau mới trễ có 5 ngày mà cứ gọi đe doạ pháp lý đòi gọi ba mẹ làm như con nít không bằng tao đọc số cho chúng mày gọi thoải mái trễ thì cứ theo lãi mà tính 50 hay 100 trong 15 ngày cũng được cứ theo thoả thuận ban đầu chúng mày đưa ra mà làm trễ 5 ngày thì hẹn ít hôm hoặc tuần nữa trả ban đầu bảo trễ tối đa 15 ngày mà làm gì mà điện đe doạ ngày cả chục cuộc kinh vậy xong lần này tao không dùng nữa lãi thì cao suốt ngày điện thoả thuận thì không ghi rõ xoá dẹp hết đi,1,0,0
quá tốt nên tôi cho 1 sao vì nó là độc nhất,1,0,0
tuyệt vời,5,2,0
tốt,5,2,0
ví trả sau lừa đảo,1,0,0
anh em chú ý nhé ai không biết dùng ví trả sau thì đừng dùng hạn vay ngắn hạn vãi lồn,1,0,0
chuyện là tôi thực hiện 7 giao dịch chuyển tiền từ tài khoản ngân hàng sang ví momo vào các quỹ tiết kiệm của mình nhưng chỉ có 6 giao dịch hoàn thành muốn biết lý do hay cách giải quyết nene tìm đến bộ phận chăm sóc khách hàng thì nói do không đu nhân viên giải quyết sử dụng sđt tốn phí 1000 đồng phút thì nghe hết quảng cáo thì cup máy không giải quyết bất cứ yêu cầu nào của khách hàng hay phản hồi bất cứ kêu cầu của khách hàng,1,0,2
từ hqua tới giờ momo không biết có bị lỗi không mình không rút tiền được mà không chuyển khoản được không bình thường gì sao,1,0,2
gửi kết bạn lộn cho người lạ nhờ nhân viên hỗ trợ mà nhận lại sự lạnh lùng thêm không giup được thì hãy để người ta tự xóa được đi chứ kì quá àk thích ứng dụng đặt kết nối giữa tài khoản vơi nhau hay sao á để người ta tự nguyện đi,4,2,0
clm chuyển tiền hết hạn mức tính cước phí cao vãi lồn lừa đảo hay gì quảng cáo chuyển tiền miễn phí mà vẫn mất phí,1,0,2
tốt,5,2,0
ứng dụng chậm cứ lỗi không cho chuyển tiền về ngân hàng tệ thật sự,3,1,2
hay,5,2,0
từ ngày có con ai làm chuyển khoản cứ tải tải rất lâu chắc phải bỏ momo thôi tôi phản hồi qua ứng dụng momo mà chưa thấy trả lời gì cả họa có điên không mà còn rảnh time mất tiền để gọi lên 1900 để chuyển khoản không thiếu ngân hàng số chuyển khoản rất nhanh mượt ko tốn phí duy trì,2,0,2
trải nghiệm tốt,5,2,0
bình thường thì sử dụng tốt mà 1 tháng bảo trì ngân hàng 3 4 lần không thì momo bị lỗi nạp tiền vào ví xong đi mua đồ thanh toán không được,4,2,2
rất tệ chuyển momo qua ngân hàng cực lâu yêu cầu hủy thì không được mà tiền thì bị trừ mất mất thời gian,1,0,2
ứng dụng thật sự rất tệ vấn đề thanh toán mua themes không được mà 2 tuần chưa giải quyết được cứ đùn đẩy qua lại nếu có 0 sao mình cũng đánh giá luôn,1,0,2
trải nghiệm tuyệt vời,5,2,0
tải hoài dù mạng ổn không chuyển được,1,0,0
suốt ngày lỗi không vào được không chuyển tiền được,1,0,2
ứng dụng không vào được báo kết nối chậm trong khi dùng mạng mạng lẫn mạng,1,0,1
lúc nào cũng chậm chuyển khoản qua ngân hangg thì bị kẹt tiền mẹ cay vãi lồn,1,0,2
bảo trì đéo gì lắm thế ditcumay,1,0,0
trải nghiệm rất tốt,5,2,0
dạo này momo xài như con cặc mỗ ra ứng dụng tải 5 10p chưa ra quét mã qr thanh toán tiền thì tải hoài quê với quán thật luôn,1,0,2
lỗi triền miên,1,0,0
bảo trì là sao,1,0,0
có tiền trong ví nhưng không chuyển khoản được tốc độ chuyển khoản siêu chậm mặc dù đã cập nhập và mạng bình thường,1,0,2
ngày 10 12 2025 tôi nạp với thanh toán trên ứng dụng không được,3,1,2
ứng dụng có bảo trì hay không cũng không thông báo vẫn đăng nhập được tới lúc chuyển tiền thì giật lúc sau thì lại trừ tiền nhưng người khác không nhận được liên hệ hotline tổng đài thì lúc nào cũng bận nhắn tin hỗ trợ 24 7 thì toàn ai trả lời chung chung không ai hỗ trợ khách hàng làm khách hàng mất tiền,1,0,1
ứng dụng này thật sự quá tệ liên tục báo ngân hàng bảo trì 1,1,0,0
tệ tất cả,1,0,0
toàn cập nhật với bảo trì mấy lúc cần dùng đang đi ngoài đường mà phụ thuộc vào cái momo này là toang chuyển không được đã đành tới mức mà rút về ngân hàng liên kết để chuyển cho người ta cũng không được thông báo thì lỗi tiền nhận không hiện lúc có lúc không momo làm ăn kiểu gì thế chắc thôi sau này dùng ngân hàng cho lành sợ vcđ,1,0,2
nạp tiền vô ví momo thì được còn rút ra hay chuyển khoản qua số tài khoản khác thì giật cứng báo lỗi hệ thống giờ cần tiền không lấy ra được nên xoá ứng dụng,1,0,2
mạng 5 cục mà tải 5p vận không tải để thanh toán chập chờn lắm luôn,3,1,2
bị lỗi mấy ngày nay không chuyển tiền được,1,0,2
mẹ nó bảo trì liên tục vậy,1,0,0
ứng dụng rất giật mỗi lần chuyển tiền rất tốn thời gian đề nghị nhân viên nên sửa lại,1,0,2
momo làm ăn như quần què lỗi quài,1,0,0
đeo nap tiền được,1,0,0
chả khác gì lừa đảo tự động thanh toán bằng ví trả sau không có 1 thông báo xác nhận đùng cái gọi điện thanh toán quá hạn,1,0,2
tại sao ví trả không xài tới 1 nghìn nào mà vẫn kêu thánh toán 8 nghìn là như thế nào,1,0,0
phục vụ rất kém không có cách khắc phục cho các tài khoản đã quên trung tâm hỗ trợ chậm chạp làm ăn rất tệ hỗ trợ gì mà để khách hàng chờ rất lâu phản ứng chậm chạp lề mề không ra dáng chăm sóc khách hàng quá buồn cho cái kỉ niệm lần đầu sử dụng ứng dụng chuyển tiền,1,0,2
rất tốt ứng dụng chỉ cần bổ sung thêm một số tính năng tiện ích khác nữa như mua sắm giao hàng ăn uống,5,2,0
không nạp mạng được,1,0,2
anh em tắt cái tự động thanh toán đi nhé không bị giống tôi tiền tự trừ vào tài khoản ngân hàng đấy,1,0,2
không gởi mã mã xác thực về điện thoại tester gì làm ăn tệ đời quá đi thôi,1,0,1
được,5,2,0
ứng dụng hay lỗi đăng nhập có lúc thoát ra xonv hồi sau dùng lại nó không bắt đăng nhập hay gì hết cho vô thẳng ứng dụng luôn rồi hay bị giật ở mấy cái tiện ích,3,1,1
giật tiền không lý do không có sự nhiệt tình trong giải quyết lần đầu trải nghiệm lại thực sự thấy momo rất tệ trong rất nhiều vấn đề giao dịch về ngân hàng thì lại mất phí,1,0,2
giao dịch chờ xử lý thế tại sao mày không hoàn tiền cho tao,1,0,2
sau dạo này muốn đăng nhập vô momo không được phải bấm quên mật khẩu rồi xác thực lại gương mặt tùm lum mới cấp lại mật khẩu mới trong khi mật khẩu tôi xài bình thường mà vô không được,3,1,1
tuyệt với,5,2,0
càng ngày càng lỗi tùm lum,1,0,0
quá thất vọng khi thực hiện rút tiền thì báo vượt hạn mức trong khi cả tháng chưa thực hiện giao dịch nào,2,0,2
hay,5,2,0
tốt,1,0,0
lừa đảo vãi lồn mất tiền oan ghét vãi lồn,1,0,2
tệ rất tệ chăm sóc khách hàng thì lâu ngân hàng chuyển tiền đến ví thì lỗi tùm lum 0s,1,0,2
mở ví trả sau không được là sao,5,2,0
tuyệt vời,5,2,0
ứng dụng siêu siêu tệ vào chuyển khoản thì cứ tự động thoát cập nhật thì liên tục nhưng không có hiệu quả các chương trình khuyến mãi chả có cái nào đàng hoàng tệ siêu siêu tệ,1,0,0
rất tốt mọi người ạ,1,0,0
ứng dụng rất chậm phí thanh toán thì quá cao trải nghiệm rất tệ,1,0,2
tốt,5,2,0
tốt,5,2,0
thay vì gán cả đống quáng cáo và hàng loạt pop cập nhật lên thì lo cho các tác vụ chính chạy mượt đi má,1,0,0
không biết sử dụng,5,2,0
cập nhập xong kết nối internet rất chập chờn liên tục báo mất kết nối internet trong khi các ứng dụng khác sử dụng bình thường,1,0,0
ứng dụng càng ngày càng nặng tải chậm giật,3,1,3
lần trước bị mất tiền vì ngu nhưng mà vẫn muốn đổ thừa cho ứng dụng quét mã mã qr mà không bảo bạn có chắc hay muốn liên kết với tài khoản khác không làm tưởng đang liên kết tài khoản bản thân,1,0,2
càng ngày càng giật,3,1,3
ứng dụng giật như con cặc,1,0,3
có uy tin,5,2,0
tot,5,2,0
bớt khôn lõi lại,1,0,0
ứng dụng rác sử dụng gửi tiền lấy phí cực cao mọi người không nên tải,1,0,2
tốt,5,2,0
tot,5,2,0
tối ưu tối tân nhiều mục đích sử dụng gói gọn ở momo ví điện tử siêu việt 5 sao chp chất lừ momo,5,2,3
sẵn đây tôi chia sẻ ngắn gọn giờ thức lừa đảo mới chuyện là tôi xíu nữa bị lọt hố thưởng ví trả sau của momo 2025 họ sẽ dụ mình chụp điểm uy tín xem có đủ đ k để mở ví trả sau hay không sau đó họ sẽ giờ dẫn mở ví trả sau để nhận tiền thưởng bằng hạn mức mà các bạn có khi mở ví họ kêu mình chụp màn hình chính của ví tao sau kèm màn hình khúc dưới của điểm uy tín rồi bấm vào link giao dịch mà họ gửi rất may nhờ có momo đã phát hiện giao dịch lạ và cảnh báo lừa đảo mình chân thành cảm ơn đội ngũ momo ạ,5,2,2
làm sinh học cả ngày không được toàn bị thoát chịu chết,1,0,3
tự động từ tiền là sao nữa đây,1,0,2
ứng dụng như quần què đách họ người ta đến hạn đăng kí gói cũng không thèm thông báo 1 tiếng trừ thẳng tiền vào ví trả sau mà ví trả sau thế quái nào cũng không thanh toán từng kì đuợc bắt buộc phải thanh toán 1 lần ứng dụng rác rưởi lừa đảo không sử dụng nữa,1,0,2
thông báo nhiều giật,1,0,3
rất tốt,5,2,0
ứng dụng cắt cổ cái ví trả sau tự nhảy lẻn thang toán chính thanh toán có 5 nghìn phải trả lại 35 nghìn phí hết 30 nghìn rồi nợ có 5 nghìn còn hơn ứng dụng vay nặng lãi,1,0,2
không ấn vào chuyển khoản đuợc đợi 10p chx tải vô đuợc chuyển khoản ấn chuyển tiền vào ngân hàng nhưng cứ tải nử cây là đứng,2,0,2
ứng dụng như pịa,1,0,0
3 ngày rồi sao gói data cứ tạm hết hoài vậy đợi mà quạo luon á,1,0,0
không vào được ứng dụng dù mạng đầy đủ chuyển tiền rồi không hiện thông báo dù trừ tiền rồi,1,0,1
tốt,5,2,0
bảo đk ví trả sau hạn mức tối thiểu 1 triệu mà tao có 500 nghìn bịp à,1,0,0
tot,5,2,0
